run_id,architecture,architecture_label,load,repetition,seed,status,successful_tasks,failed_tasks,duration_sec,throughput_tasks_sec,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,cpu_time_sec,cpu_core_equivalent_percent,cpu_machine_normalized_percent,rss_start_mb,rss_end_mb,rss_peak_mb,cfp,propose,refuse,award,reject,accept,result,fail,feedback,cnp_messages_total,messages_per_task,reassignments,jain_fairness,recovered_tasks,duplicate_effects,pending_final,lag_final,error
ma_20260909T160812Z_34016,C,autonomous_memory_off,100,4,741945,ok,100,0,0.133711,747.883303,3.27052,1.105,19.0305,21.93017,0.125,93.485413,11.685677,178.796875,178.855469,178.929688,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.921319,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,100,4,741945,ok,100,0,0.1012,988.143269,1.6467,0.6465,6.29895,17.73581,0.09375,92.638431,11.579804,178.839844,179.214844,179.289062,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,100,5,741946,ok,100,0,0.001365,73265.44522,0.006886,0.0048,0.012405,0.018159,0.0,0.0,0.0,179.332031,179.347656,179.347656,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,100,5,741946,ok,100,0,0.01063,9407.691702,0.006718,0.0051,0.015255,0.030558,0.0,0.0,0.0,179.207031,179.242188,179.285156,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9998,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,100,5,741946,ok,100,0,0.075669,1321.54515,1.50389,0.496,7.8403,15.26194,0.078125,103.245715,12.905714,179.210938,179.261719,179.335938,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.886997,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,100,5,741946,ok,100,0,0.06344,1576.297528,1.23172,0.455,1.5407,17.78876,0.0625,98.518595,12.314824,179.246094,179.347656,179.386719,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,100,6,741947,ok,100,0,0.000919,108813.926667,0.004647,0.0045,0.005205,0.007541,0.015625,1700.217604,212.527201,179.398438,179.414062,179.414062,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,100,6,741947,ok,100,0,0.007007,14271.035429,0.005651,0.0048,0.01156,0.018718,0.0,0.0,0.0,179.398438,179.429688,179.476562,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9998,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,100,6,741947,ok,100,0,0.067465,1482.239071,1.29291,0.4425,6.95555,14.93468,0.078125,115.799927,14.474991,179.34375,179.367188,179.441406,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,100,6,741947,ok,100,0,0.081303,1229.962376,1.87412,0.536,7.8802,26.70614,0.078125,96.090811,12.011351,179.355469,179.410156,179.484375,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,100,7,741948,ok,100,0,0.002117,47236.654427,0.010981,0.01075,0.023305,0.030419,0.0,0.0,0.0,178.570312,178.648438,178.648438,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,100,7,741948,ok,100,0,0.006699,14928.269626,0.005735,0.00425,0.014365,0.024009,0.015625,233.254213,29.156777,178.660156,178.945312,178.988281,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9998,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,100,7,741948,ok,100,0,0.116588,857.718263,2.12509,0.4875,9.93215,21.6638,0.125,107.214783,13.401848,178.914062,179.066406,179.140625,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.85955,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,100,7,741948,ok,100,0,0.079305,1260.956132,1.85164,0.5215,8.68495,27.41224,0.078125,98.512198,12.314025,179.398438,179.441406,179.515625,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,100,8,741949,ok,100,0,0.002187,45726.827831,0.011301,0.01155,0.018155,0.048224,0.0,0.0,0.0,179.0625,179.078125,179.078125,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,100,8,741949,ok,100,0,0.006008,16644.474044,0.005374,0.0045,0.01158,0.016429,0.0,0.0,0.0,179.066406,179.148438,179.1875,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9998,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,100,8,741949,ok,100,0,0.061411,1628.367465,1.33334,0.4275,1.7092,20.76776,0.0625,101.772967,12.721621,179.117188,179.214844,179.285156,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.85955,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,100,8,741949,ok,100,0,0.065897,1517.519765,1.48414,0.458,8.3362,14.3429,0.078125,118.556232,14.819529,179.207031,179.28125,179.34375,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,100,9,741950,ok,100,0,0.00095,105263.169019,0.004822,0.0046,0.00552,0.010127,0.0,0.0,0.0,179.304688,179.320312,179.320312,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,100,9,741950,ok,100,0,0.006471,15454.756139,0.005903,0.0048,0.014535,0.017385,0.015625,241.480565,30.185071,179.277344,179.316406,179.355469,0,0,0,0,0,0,0,0,0,0,0.0,0,0.9998,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,100,9,741950,ok,100,0,0.057079,1751.970093,1.25656,0.4215,4.6129,19.69499,0.0625,109.498131,13.687266,179.289062,179.308594,179.382812,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.952925,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,100,9,741950,ok,100,0,0.069609,1436.597906,1.48066,0.494,6.47175,24.82661,0.0625,89.787369,11.223421,179.292969,179.320312,179.394531,100,300,0,100,200,100,100,0,100,1000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,0,781941,ok,500,0,0.004858,102920.895595,0.005268,0.0045,0.005905,0.018339,0.0,0.0,0.0,179.308594,179.335938,179.335938,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,0,781941,ok,500,0,0.03189,15678.797882,0.021415,0.0054,0.01821,0.045907,0.03125,97.992487,12.249061,179.347656,179.65625,179.707031,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,0,781941,ok,500,0,0.412045,1213.458223,2.218942,0.5405,13.5186,29.97421,0.390625,94.801424,11.850178,179.652344,184.136719,184.199219,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.951142,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,0,781941,ok,500,0,0.405193,1233.978943,2.095802,0.48,7.46685,39.19525,0.390625,96.404605,12.050576,184.128906,188.238281,188.242188,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.902638,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,1,781942,ok,500,0,0.00917,54523.842715,0.009864,0.0094,0.01661,0.026237,0.015625,170.387008,21.298376,188.613281,188.644531,188.664062,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,1,781942,ok,500,0,0.030443,16424.136898,0.006926,0.0053,0.01343,0.020236,0.03125,102.650856,12.831357,188.351562,188.554688,188.59375,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,1,781942,ok,500,0,0.332327,1504.539949,1.54154,0.4615,7.3842,24.59099,0.375,112.840496,14.105062,188.554688,188.660156,188.734375,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.941854,0,0,0,0,
ma_20260909T160812Z_34016,D,autonomous_memory_on,500,1,781942,ok,500,0,0.511183,978.12272,0.774322,0.6025,1.432,1.98299,0.484375,94.755639,11.844455,188.644531,188.589844,188.820312,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
ma_20260909T160812Z_34016,A,monolith,500,2,781943,ok,500,0,0.005,99994.000221,0.005246,0.0047,0.008045,0.018602,0.015625,312.481251,39.060156,188.804688,188.90625,188.90625,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,0,0,0,0,
ma_20260909T160812Z_34016,B,centralized_workers,500,2,781943,ok,500,0,0.028605,17479.52274,0.008101,0.0053,0.0162,0.023149,0.03125,109.247017,13.655877,188.910156,189.167969,189.226562,0,0,0,0,0,0,0,0,0,0,0.0,0,0.999992,0,0,0,0,
ma_20260909T160812Z_34016,C,autonomous_memory_off,500,2,781943,ok,500,0,0.553275,903.709892,0.930086,0.574,1.5475,2.30441,0.546875,98.843269,12.355409,188.691406,188.765625,188.832031,500,1500,0,500,1000,500,500,0,500,5000,10.0,0,0.888889,0,0,0,0,
