task_id,task_type,winner,status,latency_ms,proposals,refusals,result_pid,result_host,reassignments
multivm_cnp_20260909T202632Z_37592-task-45,route.synthetic,debian-alpha,ok,36.41,"{""debian-alpha"": 0.930065, ""ubuntu-beta"": 0.853739}",{},2787,andy,0
multivm_cnp_20260909T202632Z_37592-task-46,detect.synthetic,ubuntu-beta,ok,47.437,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.948038}",{},4305,andy-VirtualBox,0
multivm_cnp_20260909T202632Z_37592-task-47,correlate.synthetic,ubuntu-beta,ok,37.968,"{""ubuntu-beta"": 0.929951}","{""debian-alpha"": ""capability_missing""}",4305,andy-VirtualBox,0
multivm_cnp_20260909T202632Z_37592-task-48,parse.synthetic,debian-alpha,ok,35.83,"{""debian-alpha"": 0.970126, ""ubuntu-beta"": 0.809}",{},2787,andy,0
multivm_cnp_20260909T202632Z_37592-task-49,route.synthetic,debian-alpha,ok,39.462,"{""debian-alpha"": 0.931175, ""ubuntu-beta"": 0.853739}",{},2787,andy,0
multivm_cnp_20260909T202632Z_37592-task-50,detect.synthetic,ubuntu-beta,ok,40.601,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.949131}",{},4305,andy-VirtualBox,0
multivm_cnp_20260909T202632Z_37592-task-51,correlate.synthetic,ubuntu-beta,ok,34.821,"{""ubuntu-beta"": 0.931058}","{""debian-alpha"": ""capability_missing""}",4305,andy-VirtualBox,0
multivm_cnp_20260909T202632Z_37592-task-52,parse.synthetic,debian-alpha,ok,39.441,"{""debian-alpha"": 0.971083, ""ubuntu-beta"": 0.809}",{},2787,andy,0
multivm_cnp_20260909T202632Z_37592-task-53,route.synthetic,debian-alpha,ok,42.307,"{""debian-alpha"": 0.932129, ""ubuntu-beta"": 0.853739}",{},2787,andy,0
multivm_cnp_20260909T202632Z_37592-task-54,detect.synthetic,ubuntu-beta,ok,42.216,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.95009}",{},4305,andy-VirtualBox,0
multivm_cnp_20260909T202632Z_37592-task-55,correlate.synthetic,ubuntu-beta,ok,54.853,"{""ubuntu-beta"": 0.932023}","{""debian-alpha"": ""capability_missing""}",4305,andy-VirtualBox,0
multivm_cnp_20260909T202632Z_37592-task-56,parse.synthetic,debian-alpha,ok,48.44,"{""debian-alpha"": 0.971922, ""ubuntu-beta"": 0.809}",{},2787,andy,0
multivm_cnp_20260909T202632Z_37592-task-57,route.synthetic,debian-alpha,ok,53.252,"{""debian-alpha"": 0.932956, ""ubuntu-beta"": 0.853739}",{},2787,andy,0
multivm_cnp_20260909T202632Z_37592-task-58,detect.synthetic,ubuntu-beta,ok,55.329,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.950923}",{},4305,andy-VirtualBox,0
multivm_cnp_20260909T202632Z_37592-task-59,correlate.synthetic,ubuntu-beta,ok,51.404,"{""ubuntu-beta"": 0.932852}","{""debian-alpha"": ""capability_missing""}",4305,andy-VirtualBox,0
