task_index,task_id,task_type,submitted_at,completed_at,campaign_elapsed_sec,winner,status,latency_ms,reassignments,proposals_json,refusals_json,result_pid,result_host,idempotency_replayed
60,cnp_endurance_multivm_20260918T124034Z-task-0000060,parse.synthetic,2026-09-18T12:45:17.516237+00:00,2026-09-18T12:45:17.569130+00:00,12.047,ubuntu-beta,ok,53.195,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.921645}",{},3690,andy-VirtualBox,False
61,cnp_endurance_multivm_20260918T124034Z-task-0000061,route.synthetic,2026-09-18T12:45:17.723276+00:00,2026-09-18T12:45:17.769424+00:00,12.25,ubuntu-beta,ok,46.125,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.975638}",{},3690,andy-VirtualBox,False
62,cnp_endurance_multivm_20260918T124034Z-task-0000062,detect.synthetic,2026-09-18T12:45:17.920340+00:00,2026-09-18T12:45:17.968615+00:00,12.453,ubuntu-beta,ok,48.816,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.951648}",{},3690,andy-VirtualBox,False
63,cnp_endurance_multivm_20260918T124034Z-task-0000063,correlate.synthetic,2026-09-18T12:45:18.123402+00:00,2026-09-18T12:45:18.161431+00:00,12.641,ubuntu-beta,ok,38.085,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.933662}",{},3690,andy-VirtualBox,False
64,cnp_endurance_multivm_20260918T124034Z-task-0000064,parse.synthetic,2026-09-18T12:45:18.328865+00:00,2026-09-18T12:45:18.424783+00:00,12.906,ubuntu-beta,ok,94.441,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.922294}",{},3690,andy-VirtualBox,False
65,cnp_endurance_multivm_20260918T124034Z-task-0000065,route.synthetic,2026-09-18T12:45:18.519146+00:00,2026-09-18T12:45:18.565803+00:00,13.047,ubuntu-beta,ok,46.436,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.976292}",{},3690,andy-VirtualBox,False
66,cnp_endurance_multivm_20260918T124034Z-task-0000066,detect.synthetic,2026-09-18T12:45:18.718746+00:00,2026-09-18T12:45:18.767515+00:00,13.25,ubuntu-beta,ok,48.521,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.952295}",{},3690,andy-VirtualBox,False
67,cnp_endurance_multivm_20260918T124034Z-task-0000067,correlate.synthetic,2026-09-18T12:45:18.927611+00:00,2026-09-18T12:45:18.969842+00:00,13.453,ubuntu-beta,ok,42.546,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.934323}",{},3690,andy-VirtualBox,False
68,cnp_endurance_multivm_20260918T124034Z-task-0000068,parse.synthetic,2026-09-18T12:45:19.124186+00:00,2026-09-18T12:45:19.161913+00:00,13.641,ubuntu-beta,ok,37.982,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.922857}",{},3690,andy-VirtualBox,False
69,cnp_endurance_multivm_20260918T124034Z-task-0000069,route.synthetic,2026-09-18T12:45:19.325506+00:00,2026-09-18T12:45:19.362995+00:00,13.844,ubuntu-beta,ok,37.756,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.976877}",{},3690,andy-VirtualBox,False
70,cnp_endurance_multivm_20260918T124034Z-task-0000070,detect.synthetic,2026-09-18T12:45:19.519765+00:00,2026-09-18T12:45:19.563800+00:00,14.047,ubuntu-beta,ok,43.983,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.952875}",{},3690,andy-VirtualBox,False
71,cnp_endurance_multivm_20260918T124034Z-task-0000071,correlate.synthetic,2026-09-18T12:45:19.717525+00:00,2026-09-18T12:45:19.757724+00:00,14.235,ubuntu-beta,ok,40.105,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.934912}",{},3690,andy-VirtualBox,False
72,cnp_endurance_multivm_20260918T124034Z-task-0000072,parse.synthetic,2026-09-18T12:45:19.923318+00:00,2026-09-18T12:45:19.978868+00:00,14.453,ubuntu-beta,ok,55.756,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.923391}",{},3690,andy-VirtualBox,False
73,cnp_endurance_multivm_20260918T124034Z-task-0000073,route.synthetic,2026-09-18T12:45:20.126607+00:00,2026-09-18T12:45:20.187684+00:00,14.672,ubuntu-beta,ok,61.457,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.977408}",{},3690,andy-VirtualBox,False
74,cnp_endurance_multivm_20260918T124034Z-task-0000074,detect.synthetic,2026-09-18T12:45:20.327182+00:00,2026-09-18T12:45:20.373421+00:00,14.86,ubuntu-beta,ok,46.598,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.953409}",{},3690,andy-VirtualBox,False
75,cnp_endurance_multivm_20260918T124034Z-task-0000075,correlate.synthetic,2026-09-18T12:45:20.514316+00:00,2026-09-18T12:45:20.563457+00:00,15.047,ubuntu-beta,ok,49.149,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.935445}",{},3690,andy-VirtualBox,False
76,cnp_endurance_multivm_20260918T124034Z-task-0000076,parse.synthetic,2026-09-18T12:45:20.717285+00:00,2026-09-18T12:45:20.773471+00:00,15.25,ubuntu-beta,ok,56.471,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.923863}",{},3690,andy-VirtualBox,False
77,cnp_endurance_multivm_20260918T124034Z-task-0000077,route.synthetic,2026-09-18T12:45:20.924811+00:00,2026-09-18T12:45:20.962145+00:00,15.438,ubuntu-beta,ok,37.48,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.977875}",{},3690,andy-VirtualBox,False
78,cnp_endurance_multivm_20260918T124034Z-task-0000078,detect.synthetic,2026-09-18T12:45:21.127697+00:00,2026-09-18T12:45:21.177058+00:00,15.656,ubuntu-beta,ok,49.491,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.953885}",{},3690,andy-VirtualBox,False
79,cnp_endurance_multivm_20260918T124034Z-task-0000079,correlate.synthetic,2026-09-18T12:45:21.328682+00:00,2026-09-18T12:45:21.392112+00:00,15.875,ubuntu-beta,ok,63.497,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.93592}",{},3690,andy-VirtualBox,False
80,cnp_endurance_multivm_20260918T124034Z-task-0000080,parse.synthetic,2026-09-18T12:45:21.517968+00:00,2026-09-18T12:45:21.565948+00:00,16.047,ubuntu-beta,ok,48.155,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.924284}",{},3690,andy-VirtualBox,False
81,cnp_endurance_multivm_20260918T124034Z-task-0000081,route.synthetic,2026-09-18T12:45:21.719672+00:00,2026-09-18T12:45:21.758732+00:00,16.235,ubuntu-beta,ok,38.92,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.978315}",{},3690,andy-VirtualBox,False
82,cnp_endurance_multivm_20260918T124034Z-task-0000082,detect.synthetic,2026-09-18T12:45:21.924087+00:00,2026-09-18T12:45:21.964849+00:00,16.438,ubuntu-beta,ok,40.598,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.954314}",{},3690,andy-VirtualBox,False
83,cnp_endurance_multivm_20260918T124034Z-task-0000083,correlate.synthetic,2026-09-18T12:45:22.127127+00:00,2026-09-18T12:45:22.174505+00:00,16.656,ubuntu-beta,ok,47.31,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.936345}",{},3690,andy-VirtualBox,False
84,cnp_endurance_multivm_20260918T124034Z-task-0000084,parse.synthetic,2026-09-18T12:45:22.325744+00:00,2026-09-18T12:45:22.373917+00:00,16.86,ubuntu-beta,ok,48.401,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.924683}",{},3690,andy-VirtualBox,False
85,cnp_endurance_multivm_20260918T124034Z-task-0000085,route.synthetic,2026-09-18T12:45:22.514863+00:00,2026-09-18T12:45:22.574133+00:00,17.047,ubuntu-beta,ok,59.312,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.978718}",{},3690,andy-VirtualBox,False
