task_index,task_id,task_type,submitted_at,completed_at,campaign_elapsed_sec,winner,status,latency_ms,reassignments,proposals_json,refusals_json,result_pid,result_host,idempotency_replayed
121,cnp_endurance_multivm_20260918T124034Z-task-0000121,route.synthetic,2026-09-18T12:45:29.728269+00:00,2026-09-18T12:45:29.767150+00:00,24.25,ubuntu-beta,ok,39.01,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.981164}",{},3690,andy-VirtualBox,False
122,cnp_endurance_multivm_20260918T124034Z-task-0000122,detect.synthetic,2026-09-18T12:45:29.926804+00:00,2026-09-18T12:45:29.975061+00:00,24.453,ubuntu-beta,ok,48.541,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.957163}",{},3690,andy-VirtualBox,False
123,cnp_endurance_multivm_20260918T124034Z-task-0000123,correlate.synthetic,2026-09-18T12:45:30.122900+00:00,2026-09-18T12:45:30.172139+00:00,24.656,ubuntu-beta,ok,49.271,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.939197}",{},3690,andy-VirtualBox,False
124,cnp_endurance_multivm_20260918T124034Z-task-0000124,parse.synthetic,2026-09-18T12:45:30.327510+00:00,2026-09-18T12:45:30.411160+00:00,24.891,ubuntu-beta,ok,83.878,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.927341}",{},3690,andy-VirtualBox,False
125,cnp_endurance_multivm_20260918T124034Z-task-0000125,route.synthetic,2026-09-18T12:45:30.521087+00:00,2026-09-18T12:45:30.613188+00:00,25.094,ubuntu-beta,ok,92.908,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.981355}",{},3690,andy-VirtualBox,False
126,cnp_endurance_multivm_20260918T124034Z-task-0000126,detect.synthetic,2026-09-18T12:45:30.720716+00:00,2026-09-18T12:45:30.886187+00:00,25.36,ubuntu-beta,ok,165.676,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.957352}",{},3690,andy-VirtualBox,False
127,cnp_endurance_multivm_20260918T124034Z-task-0000127,correlate.synthetic,2026-09-18T12:45:30.927424+00:00,2026-09-18T12:45:31.081942+00:00,25.563,ubuntu-beta,ok,154.709,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.939384}",{},3690,andy-VirtualBox,False
128,cnp_endurance_multivm_20260918T124034Z-task-0000128,parse.synthetic,2026-09-18T12:45:31.126797+00:00,2026-09-18T12:45:31.292847+00:00,25.766,ubuntu-beta,ok,165.887,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.927498}",{},3690,andy-VirtualBox,False
129,cnp_endurance_multivm_20260918T124034Z-task-0000129,route.synthetic,2026-09-18T12:45:31.329398+00:00,2026-09-18T12:45:31.544071+00:00,26.016,ubuntu-beta,ok,214.224,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.981519}",{},3690,andy-VirtualBox,False
130,cnp_endurance_multivm_20260918T124034Z-task-0000130,detect.synthetic,2026-09-18T12:45:31.544071+00:00,2026-09-18T12:45:31.758570+00:00,26.235,ubuntu-beta,ok,214.707,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.95748}",{},3690,andy-VirtualBox,False
131,cnp_endurance_multivm_20260918T124034Z-task-0000131,correlate.synthetic,2026-09-18T12:45:31.759251+00:00,2026-09-18T12:45:31.896975+00:00,26.375,ubuntu-beta,ok,137.291,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.939522}",{},3690,andy-VirtualBox,False
132,cnp_endurance_multivm_20260918T124034Z-task-0000132,parse.synthetic,2026-09-18T12:45:31.922398+00:00,2026-09-18T12:45:32.008374+00:00,26.485,ubuntu-beta,ok,86.098,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.927611}",{},3690,andy-VirtualBox,False
133,cnp_endurance_multivm_20260918T124034Z-task-0000133,route.synthetic,2026-09-18T12:45:32.124082+00:00,2026-09-18T12:45:32.179592+00:00,26.656,ubuntu-beta,ok,55.249,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.981603}",{},3690,andy-VirtualBox,False
134,cnp_endurance_multivm_20260918T124034Z-task-0000134,detect.synthetic,2026-09-18T12:45:32.328990+00:00,2026-09-18T12:45:32.387603+00:00,26.86,ubuntu-beta,ok,58.592,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.957565}",{},3690,andy-VirtualBox,False
135,cnp_endurance_multivm_20260918T124034Z-task-0000135,correlate.synthetic,2026-09-18T12:45:32.528407+00:00,2026-09-18T12:45:32.625732+00:00,27.11,ubuntu-beta,ok,97.296,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.939663}",{},3690,andy-VirtualBox,False
136,cnp_endurance_multivm_20260918T124034Z-task-0000136,parse.synthetic,2026-09-18T12:45:32.716336+00:00,2026-09-18T12:45:32.778893+00:00,27.266,ubuntu-beta,ok,63.205,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.927767}",{},3690,andy-VirtualBox,False
137,cnp_endurance_multivm_20260918T124034Z-task-0000137,route.synthetic,2026-09-18T12:45:32.923582+00:00,2026-09-18T12:45:32.971621+00:00,27.453,ubuntu-beta,ok,48.222,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.981762}",{},3690,andy-VirtualBox,False
138,cnp_endurance_multivm_20260918T124034Z-task-0000138,detect.synthetic,2026-09-18T12:45:33.125319+00:00,2026-09-18T12:45:33.223819+00:00,27.703,ubuntu-beta,ok,98.479,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.957724}",{},3690,andy-VirtualBox,False
139,cnp_endurance_multivm_20260918T124034Z-task-0000139,correlate.synthetic,2026-09-18T12:45:33.328731+00:00,2026-09-18T12:45:33.408818+00:00,27.891,ubuntu-beta,ok,80.228,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.939806}",{},3690,andy-VirtualBox,False
140,cnp_endurance_multivm_20260918T124034Z-task-0000140,parse.synthetic,2026-09-18T12:45:33.518475+00:00,2026-09-18T12:45:33.581466+00:00,28.063,ubuntu-beta,ok,62.803,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.927913}",{},3690,andy-VirtualBox,False
141,cnp_endurance_multivm_20260918T124034Z-task-0000141,route.synthetic,2026-09-18T12:45:33.719021+00:00,2026-09-18T12:45:33.772659+00:00,28.25,ubuntu-beta,ok,53.822,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.981914}",{},3690,andy-VirtualBox,False
142,cnp_endurance_multivm_20260918T124034Z-task-0000142,detect.synthetic,2026-09-18T12:45:33.923493+00:00,2026-09-18T12:45:33.981698+00:00,28.469,ubuntu-beta,ok,58.435,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.957861}",{},3690,andy-VirtualBox,False
143,cnp_endurance_multivm_20260918T124034Z-task-0000143,correlate.synthetic,2026-09-18T12:45:34.126290+00:00,2026-09-18T12:45:34.173047+00:00,28.656,ubuntu-beta,ok,47.047,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.939952}",{},3690,andy-VirtualBox,False
144,cnp_endurance_multivm_20260918T124034Z-task-0000144,parse.synthetic,2026-09-18T12:45:34.325572+00:00,2026-09-18T12:45:34.364140+00:00,28.844,ubuntu-beta,ok,38.552,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.928051}",{},3690,andy-VirtualBox,False
145,cnp_endurance_multivm_20260918T124034Z-task-0000145,route.synthetic,2026-09-18T12:45:34.520784+00:00,2026-09-18T12:45:34.559657+00:00,29.031,ubuntu-beta,ok,38.814,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.982057}",{},3690,andy-VirtualBox,False
146,cnp_endurance_multivm_20260918T124034Z-task-0000146,detect.synthetic,2026-09-18T12:45:34.729480+00:00,2026-09-18T12:45:34.766261+00:00,29.25,ubuntu-beta,ok,36.972,0,"{""debian-alpha"": 0.785, ""ubuntu-beta"": 0.958005}",{},3690,andy-VirtualBox,False
147,cnp_endurance_multivm_20260918T124034Z-task-0000147,correlate.synthetic,2026-09-18T12:45:34.926647+00:00,2026-09-18T12:45:34.968807+00:00,29.453,ubuntu-beta,ok,42.257,0,"{""debian-alpha"": 0.791, ""ubuntu-beta"": 0.940096}",{},3690,andy-VirtualBox,False
148,cnp_endurance_multivm_20260918T124034Z-task-0000148,parse.synthetic,2026-09-18T12:45:35.122942+00:00,2026-09-18T12:45:35.160509+00:00,29.641,ubuntu-beta,ok,37.475,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.928192}",{},3690,andy-VirtualBox,False
149,cnp_endurance_multivm_20260918T124034Z-task-0000149,route.synthetic,2026-09-18T12:45:35.327926+00:00,2026-09-18T12:45:35.380525+00:00,29.86,ubuntu-beta,ok,52.702,0,"{""debian-alpha"": 0.821, ""ubuntu-beta"": 0.982198}",{},3690,andy-VirtualBox,False
150,cnp_endurance_multivm_20260918T124034Z-controlled-crash,parse.synthetic,2026-09-18T12:45:35.599895+00:00,2026-09-18T12:45:35.599895+00:00,30.078,ubuntu-beta,ok,72.975,0,"{""debian-alpha"": 0.850677, ""ubuntu-beta"": 0.928327}",{},3690,andy-VirtualBox,False
