dataset,model,split,seeds,test_rows,precision_mean,recall_mean,f1_mean,f1_std,pr_auc_mean,mcc_mean,fp_mean,fn_mean,duration_sec_mean
CICIDS2017,LogisticRegression,file_or_scenario_holdout,5,6435.6,0.40289873727021347,0.1899316513761468,0.23366981602723697,0.31245544054048924,0.4588288970738018,0.1868584841551894,40.0,1963.2,0.36625689999200406
CICIDS2017,RandomForest,file_or_scenario_holdout,5,6435.6,0.3904761904761905,0.12865,0.157826576048764,0.3473766857382414,0.5066148142799763,0.14620634050668213,0.2,1921.0,1.8448064400348811
CICIDS2017,SGDLogistic,file_or_scenario_holdout,5,6435.6,0.24999014972419226,0.1121,0.14359811997914335,0.31915526675806255,0.501021460368746,0.09146352479405061,32.8,1987.2,0.2926895399112254
CICIDS2017,ExtraTrees,file_or_scenario_holdout,5,6435.6,0.38181818181818183,0.1109,0.14326529877887356,0.3175708672210978,0.5073596471196617,0.12586349503840244,0.6,1992.0,1.1689999599941074
CICIDS2017,HistGradientBoosting,file_or_scenario_holdout,5,6435.6,0.2,0.0018,0.00356788899900892,0.007978042337957625,0.5690020372588893,0.0010498829577907556,3.6,2428.4,1.8531680800020696
