dataset,split,seed,model,n_estimators,max_depth,features,min_samples_leaf,class_weight,feature_count,train_rows,test_rows,train_positive_rate,test_positive_rate,tn,fp,fn,tp,precision,recall,f1,accuracy,pr_auc,mcc,notes
CICIDS2017,file_or_scenario_holdout,42,RandomForest,100,28,pipeline documented in scripts; numeric network-flow columns for network datasets; mixed numeric/categorical auth features for Linux,2,balanced,78,16000,8000,0.5,0.5,4000,0,1447,2553,1.0,0.63825,0.7791851060582939,0.819125,0.9535319698241956,0.684615487754307,"heldout_file=Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv; test_labels={'DDoS': 61194, 'BENIGN': 38806}"
CICIDS2017,file_or_scenario_holdout,43,RandomForest,100,28,pipeline documented in scripts; numeric network-flow columns for network datasets; mixed numeric/categorical auth features for Linux,2,balanced,78,16000,8000,0.5,0.5,3999,1,3980,20,0.9523809523809524,0.005,0.0099477741855259,0.502375,0.9158574655883294,0.0464162147791036,"heldout_file=Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv; test_labels={'BENIGN': 87512, 'PortScan': 12488}"
CICIDS2017,file_or_scenario_holdout,44,RandomForest,100,28,pipeline documented in scripts; numeric network-flow columns for network datasets; mixed numeric/categorical auth features for Linux,2,balanced,78,16000,5966,0.5,0.3295340261481729,4000,0,1966,0,0.0,0.0,0.0,0.670465973851827,0.3155214472702924,0.0,"heldout_file=Friday-WorkingHours-Morning.pcap_ISCX.csv; test_labels={'BENIGN': 189067, 'Bot': 1966}"
CICIDS2017,file_or_scenario_holdout,45,RandomForest,100,28,pipeline documented in scripts; numeric network-flow columns for network datasets; mixed numeric/categorical auth features for Linux,2,balanced,78,16000,4032,0.5,0.0079365079365079,4000,0,32,0,0.0,0.0,0.0,0.992063492063492,0.0088212984276018,0.0,"heldout_file=Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv; test_labels={'BENIGN': 199968, 'Infiltration': 32}"
CICIDS2017,file_or_scenario_holdout,46,RandomForest,100,28,pipeline documented in scripts; numeric network-flow columns for network datasets; mixed numeric/categorical auth features for Linux,2,balanced,78,16000,6180,0.5,0.3527508090614886,4000,0,2180,0,0.0,0.0,0.0,0.6472491909385113,0.3393418902894622,0.0,"heldout_file=Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv; test_labels={'BENIGN': 168186, 'Web Attack � Brute Force': 1507, 'Web Attack � XSS': 652, 'Web Attack � Sql Injection': 21}"
