run_id,started_at,completed_at,status,loads,repetitions,workers,raw_runs,statistics,sha256_manifest
ma_20260909T153649Z_47552,2026-09-09T15:36:49.080787+00:00,2026-09-09T15:37:10.467045+00:00,ok,[12],1,3,experiments/phase_multi_agent/raw/ma_20260909T153649Z_47552__runs.csv,experiments/phase_multi_agent/aggregated/ma_20260909T153649Z_47552__statistics.csv,experiments/phase_multi_agent/manifests/ma_20260909T153649Z_47552__sha256.json
ma_20260909T153833Z_42844,2026-09-09T15:38:33.985695+00:00,2026-09-09T15:38:46.129091+00:00,ok,[4],1,3,experiments/phase_multi_agent/raw/ma_20260909T153833Z_42844__runs.csv,experiments/phase_multi_agent/aggregated/ma_20260909T153833Z_42844__statistics.csv,experiments/phase_multi_agent/manifests/ma_20260909T153833Z_42844__sha256.json
ma_20260909T153914Z_47116,2026-09-09T15:39:14.156508+00:00,2026-09-09T15:41:25.179032+00:00,ok,"[100, 500, 1000, 5000]",10,3,experiments/phase_multi_agent/raw/ma_20260909T153914Z_47116__runs.csv,experiments/phase_multi_agent/aggregated/ma_20260909T153914Z_47116__statistics.csv,experiments/phase_multi_agent/manifests/ma_20260909T153914Z_47116__sha256.json
ma_20260909T154523Z_13604,2026-09-09T15:45:23.951870+00:00,2026-09-09T15:47:47.536556+00:00,ok,"[100, 500, 1000, 5000]",10,3,experiments/phase_multi_agent/raw/ma_20260909T154523Z_13604__runs.csv,experiments/phase_multi_agent/aggregated/ma_20260909T154523Z_13604__statistics.csv,experiments/phase_multi_agent/manifests/ma_20260909T154523Z_13604__sha256.json
ma_20260909T160717Z_46836,2026-09-09T16:07:17.655611+00:00,2026-09-09T16:07:34.213963+00:00,ok,[4],1,3,experiments/phase_multi_agent/raw/ma_20260909T160717Z_46836__runs.csv,experiments/phase_multi_agent/aggregated/ma_20260909T160717Z_46836__statistics.csv,experiments/phase_multi_agent/manifests/ma_20260909T160717Z_46836__sha256.json
ma_20260909T160812Z_34016,2026-09-09T16:08:12.348152+00:00,2026-09-09T16:10:37.541380+00:00,ok,"[100, 500, 1000, 5000]",10,3,experiments/phase_multi_agent/raw/ma_20260909T160812Z_34016__runs.csv,experiments/phase_multi_agent/aggregated/ma_20260909T160812Z_34016__statistics.csv,experiments/phase_multi_agent/manifests/ma_20260909T160812Z_34016__sha256.json
redis_cnp_20260909T162814Z_47940,2026-09-09T16:28:14.270934+00:00,2026-09-09T16:28:38.644452+00:00,ok,[60],1,3,experiments/phase_multi_agent/raw/redis_cnp_20260909T162814Z_47940__redis_cnp.json,experiments/phase_multi_agent/raw/redis_cnp_20260909T162814Z_47940__redis_cnp_tasks.csv,experiments/phase_multi_agent/manifests/redis_cnp_20260909T162814Z_47940__sha256.json
multivm_cnp_20260909T201457Z_44324,2026-09-09T20:18:42.591361+00:00,2026-09-09T20:18:50.721314+00:00,ok,[60],1,2,experiments/phase_multi_agent/raw/multivm_cnp_20260909T201457Z_44324__redis_cnp_multivm.json,experiments/phase_multi_agent/raw/multivm_cnp_20260909T201457Z_44324__redis_cnp_multivm_tasks.csv,experiments/phase_multi_agent/manifests/multivm_cnp_20260909T201457Z_44324__sha256.json
multivm_cnp_20260909T202632Z_37592,2026-09-09T20:27:31.197943+00:00,2026-09-09T20:27:36.849317+00:00,ok,[60],1,2,experiments/phase_multi_agent/raw/multivm_cnp_20260909T202632Z_37592__redis_cnp_multivm.json,experiments/phase_multi_agent/raw/multivm_cnp_20260909T202632Z_37592__redis_cnp_multivm_tasks.csv,experiments/phase_multi_agent/manifests/multivm_cnp_20260909T202632Z_37592__sha256.json
