source_id,source_group,path,adapter,true_family,run_id,expected_route,predicted_family,correct,fallback,confidence_margin,confidence_is_calibrated_probability,model,scores_json,reasons,sample_rows,neutral_artifact,latency_sec,error
cicids_tuesday,cicids2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Tuesday-WorkingHours.pcap_ISCX.csv,csv,network_cicids,router_independent_20260910T093225Z,network_cicids,network_cicids,True,False,148,False,models/random_forest_network_cicids.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 44, ""network_cicids"": 192, ""wazuh"": 0, ""windows"": 0}","colonnes network_cicids: destination port,flow bytes/s,flow duration,flow packets/s,label,total backward packets,total fwd packets | features reseau=2 | features cicids=7 | profil numerique dense",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_022.csv,0.121282699983567,
cicids_wednesday,cicids2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Wednesday-workingHours.pcap_ISCX.csv,csv,network_cicids,router_independent_20260910T093225Z,network_cicids,network_cicids,True,False,148,False,models/random_forest_network_cicids.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 44, ""network_cicids"": 192, ""wazuh"": 0, ""windows"": 0}","colonnes network_cicids: destination port,flow bytes/s,flow duration,flow packets/s,label,total backward packets,total fwd packets | features reseau=2 | features cicids=7 | profil numerique dense",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_023.csv,0.13343589997384697,
cicids_thursday_web,cicids2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,csv,network_cicids,router_independent_20260910T093225Z,network_cicids,network_cicids,True,False,148,False,models/random_forest_network_cicids.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 44, ""network_cicids"": 192, ""wazuh"": 0, ""windows"": 0}","colonnes network_cicids: destination port,flow bytes/s,flow duration,flow packets/s,label,total backward packets,total fwd packets | features reseau=2 | features cicids=7 | profil numerique dense",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_024.csv,0.14058590005151927,
cicids_thursday_infiltration,cicids2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,csv,network_cicids,router_independent_20260910T093225Z,network_cicids,network_cicids,True,False,148,False,models/random_forest_network_cicids.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 44, ""network_cicids"": 192, ""wazuh"": 0, ""windows"": 0}","colonnes network_cicids: destination port,flow bytes/s,flow duration,flow packets/s,label,total backward packets,total fwd packets | features reseau=2 | features cicids=7 | profil numerique dense",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_025.csv,0.12319200008641928,
cicids_friday_morning,cicids2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Morning.pcap_ISCX.csv,csv,network_cicids,router_independent_20260910T093225Z,network_cicids,network_cicids,True,False,148,False,models/random_forest_network_cicids.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 44, ""network_cicids"": 192, ""wazuh"": 0, ""windows"": 0}","colonnes network_cicids: destination port,flow bytes/s,flow duration,flow packets/s,label,total backward packets,total fwd packets | features reseau=2 | features cicids=7 | profil numerique dense",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_026.csv,0.08010779996402562,
cicids_friday_portscan,cicids2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,csv,network_cicids,router_independent_20260910T093225Z,network_cicids,network_cicids,True,False,148,False,models/random_forest_network_cicids.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 44, ""network_cicids"": 192, ""wazuh"": 0, ""windows"": 0}","colonnes network_cicids: destination port,flow bytes/s,flow duration,flow packets/s,label,total backward packets,total fwd packets | features reseau=2 | features cicids=7 | profil numerique dense",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_027.csv,0.07482430001255125,
cicids_friday_ddos,cicids2017,data/raw/Datasets/MachineLearningCSV/MachineLearningCVE/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,csv,network_cicids,router_independent_20260910T093225Z,network_cicids,network_cicids,True,False,148,False,models/random_forest_network_cicids.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 44, ""network_cicids"": 192, ""wazuh"": 0, ""windows"": 0}","colonnes network_cicids: destination port,flow bytes/s,flow duration,flow packets/s,label,total backward packets,total fwd packets | features reseau=2 | features cicids=7 | profil numerique dense",200,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_028.csv,0.14429079997353256,
open_cloud_service,local_open_set_fixtures,data/raw/Datasets/Dataset_csv/cloud_service_log.csv,csv,unknown_family,router_independent_20260910T093225Z,fallback,network,False,False,76,False,models/random_forest_network_unsw_80_20_sampled.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 84, ""network_cicids"": 8, ""wazuh"": 0, ""windows"": 0}",colonnes network_cicids: destination port | features reseau=7,98,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_029.csv,0.01124819996766746,
open_dns,local_open_set_fixtures,data/raw/Datasets/Dataset_csv/DNS_Logs_logs.csv,csv,unknown_family,router_independent_20260910T093225Z,fallback,network,False,False,11,False,models/random_forest_network_unsw_80_20_sampled.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 12, ""network_cicids"": 0, ""wazuh"": 0, ""windows"": 0}",features reseau=1,50,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_030.csv,0.009754099999554455,
open_virtualization,local_open_set_fixtures,data/raw/Datasets/Dataset_csv/virtualization_log.csv,csv,unknown_family,router_independent_20260910T093225Z,fallback,network,False,False,76,False,models/random_forest_network_unsw_80_20_sampled.joblib,"{""bgl"": 0, ""fallback"": 1, ""hdfs"": 0, ""linux"": 0, ""linux_auth"": 0, ""network"": 84, ""network_cicids"": 8, ""wazuh"": 0, ""windows"": 0}",colonnes network_cicids: destination port | features reseau=7,117,experiments/phase_dataset_strengthening/processed/router_independent_20260910T093225Z/source_031.csv,0.01552409993018955,
