architecture,architecture_label,ci95_high,ci95_low,ci_method,load,max,mean,median,metric,min,n,std
C,autonomous_memory_off,0.888889,0.888889,normal_approximation_1.96,4,0.888889,0.888889,0.888889,jain_fairness,0.888889,1,0.0
C,autonomous_memory_off,4.0,4.0,normal_approximation_1.96,4,4.0,4.0,4.0,successful_tasks,4.0,1,0.0
C,autonomous_memory_off,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,failed_tasks,0.0,1,0.0
D,autonomous_memory_on,0.004408,0.004408,normal_approximation_1.96,4,0.004408,0.004408,0.004408,duration_sec,0.004408,1,0.0
D,autonomous_memory_on,907.502796,907.502796,normal_approximation_1.96,4,907.502796,907.502796,907.502796,throughput_tasks_sec,907.502796,1,0.0
D,autonomous_memory_on,0.47725,0.47725,normal_approximation_1.96,4,0.47725,0.47725,0.47725,latency_mean_ms,0.47725,1,0.0
D,autonomous_memory_on,0.4825,0.4825,normal_approximation_1.96,4,0.4825,0.4825,0.4825,latency_median_ms,0.4825,1,0.0
D,autonomous_memory_on,0.54285,0.54285,normal_approximation_1.96,4,0.54285,0.54285,0.54285,latency_p95_ms,0.54285,1,0.0
D,autonomous_memory_on,0.54297,0.54297,normal_approximation_1.96,4,0.54297,0.54297,0.54297,latency_p99_ms,0.54297,1,0.0
D,autonomous_memory_on,0.015625,0.015625,normal_approximation_1.96,4,0.015625,0.015625,0.015625,cpu_time_sec,0.015625,1,0.0
D,autonomous_memory_on,354.49328,354.49328,normal_approximation_1.96,4,354.49328,354.49328,354.49328,cpu_core_equivalent_percent,354.49328,1,0.0
D,autonomous_memory_on,44.31166,44.31166,normal_approximation_1.96,4,44.31166,44.31166,44.31166,cpu_machine_normalized_percent,44.31166,1,0.0
D,autonomous_memory_on,177.25,177.25,normal_approximation_1.96,4,177.25,177.25,177.25,rss_peak_mb,177.25,1,0.0
D,autonomous_memory_on,10.0,10.0,normal_approximation_1.96,4,10.0,10.0,10.0,messages_per_task,10.0,1,0.0
D,autonomous_memory_on,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,reassignments,0.0,1,0.0
D,autonomous_memory_on,0.888889,0.888889,normal_approximation_1.96,4,0.888889,0.888889,0.888889,jain_fairness,0.888889,1,0.0
D,autonomous_memory_on,4.0,4.0,normal_approximation_1.96,4,4.0,4.0,4.0,successful_tasks,4.0,1,0.0
D,autonomous_memory_on,0.0,0.0,normal_approximation_1.96,4,0.0,0.0,0.0,failed_tasks,0.0,1,0.0
