run_id,seed,condition,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive
final_csecic_lr_forensic_20260910T235954Z,42,permuted_train_labels,20000,0.5,0.9107744107744108,0.2164,0.34970911441499675,0.8349036346554927,0.3016507108650186,0.0212,2164,212,9788,7836,2376
final_csecic_lr_forensic_20260910T235954Z,43,permuted_train_labels,20000,0.5,0.44833772495374785,0.7997,0.5745590401264504,0.3145985641406625,-0.2967127230950108,0.984,7997,9840,160,2003,17837
final_csecic_lr_forensic_20260910T235954Z,44,permuted_train_labels,20000,0.5,0.8571428571428571,0.0006,0.0011991605875886879,0.9974109877800783,0.013365401245532718,0.0001,6,1,9999,9994,7
final_csecic_lr_forensic_20260910T235954Z,45,permuted_train_labels,20000,0.5,0.9677295428351902,0.2519,0.3997460922002698,0.9772062473976171,0.36184676956855943,0.0084,2519,84,9916,7481,2603
final_csecic_lr_forensic_20260910T235954Z,46,permuted_train_labels,20000,0.5,0.7395156526875369,0.2504,0.37412221724189454,0.59659706646582,0.21625704776710153,0.0882,2504,882,9118,7496,3386
