seed,feature,coefficient,absolute_coefficient,coefficient_space
42,Active Mean,0.02954171103057846,0.02954171103057846,after_train_only_standardization
42,Active Std,0.23783414685315044,0.23783414685315044,after_train_only_standardization
42,Active Max,-0.26706945221700157,0.26706945221700157,after_train_only_standardization
42,Active Min,-0.0967367910305556,0.0967367910305556,after_train_only_standardization
42,Idle Mean,0.07813840965583599,0.07813840965583599,after_train_only_standardization
42,Idle Std,-0.5244373118852027,0.5244373118852027,after_train_only_standardization
42,Idle Max,0.26728645151262614,0.26728645151262614,after_train_only_standardization
42,Idle Min,0.10528783979062231,0.10528783979062231,after_train_only_standardization
43,Dst Port,-9.524221399093557,9.524221399093557,after_train_only_standardization
43,Protocol,0.5079190984742379,0.5079190984742379,after_train_only_standardization
43,Flow Duration,-0.8236537533974815,0.8236537533974815,after_train_only_standardization
43,Tot Fwd Pkts,0.1317942496699369,0.1317942496699369,after_train_only_standardization
43,Tot Bwd Pkts,-1.5127091775672776,1.5127091775672776,after_train_only_standardization
43,TotLen Fwd Pkts,-0.16453922724118575,0.16453922724118575,after_train_only_standardization
43,TotLen Bwd Pkts,-0.8164856441998508,0.8164856441998508,after_train_only_standardization
43,Fwd Pkt Len Max,-0.19246408944147242,0.19246408944147242,after_train_only_standardization
43,Fwd Pkt Len Min,0.2011046599639097,0.2011046599639097,after_train_only_standardization
43,Fwd Pkt Len Mean,0.33931504665824186,0.33931504665824186,after_train_only_standardization
43,Fwd Pkt Len Std,1.1673789857808972,1.1673789857808972,after_train_only_standardization
43,Bwd Pkt Len Max,-0.30292533965498686,0.30292533965498686,after_train_only_standardization
43,Bwd Pkt Len Min,-0.7437460323617332,0.7437460323617332,after_train_only_standardization
43,Bwd Pkt Len Mean,-0.9659595165820516,0.9659595165820516,after_train_only_standardization
43,Bwd Pkt Len Std,2.859418013738199,2.859418013738199,after_train_only_standardization
43,Flow Byts/s,-1.2389529684561464,1.2389529684561464,after_train_only_standardization
43,Flow Pkts/s,0.0864716695286887,0.0864716695286887,after_train_only_standardization
43,Flow IAT Mean,0.35838263583860414,0.35838263583860414,after_train_only_standardization
43,Flow IAT Std,0.25058167368398976,0.25058167368398976,after_train_only_standardization
43,Flow IAT Max,-0.5580215143469297,0.5580215143469297,after_train_only_standardization
43,Flow IAT Min,-0.18468497758123215,0.18468497758123215,after_train_only_standardization
43,Fwd IAT Tot,-1.056491604249266,1.056491604249266,after_train_only_standardization
43,Fwd IAT Mean,0.839112711357403,0.839112711357403,after_train_only_standardization
43,Fwd IAT Std,-0.2176897536762929,0.2176897536762929,after_train_only_standardization
43,Fwd IAT Max,0.06166193210345441,0.06166193210345441,after_train_only_standardization
43,Fwd IAT Min,0.6896472623793476,0.6896472623793476,after_train_only_standardization
43,Bwd IAT Tot,-2.3820568118041177,2.3820568118041177,after_train_only_standardization
43,Bwd IAT Mean,2.0879615925592474,2.0879615925592474,after_train_only_standardization
43,Bwd IAT Std,1.4681714526048653,1.4681714526048653,after_train_only_standardization
43,Bwd IAT Max,0.6619613807721111,0.6619613807721111,after_train_only_standardization
43,Bwd IAT Min,1.3105428032117852,1.3105428032117852,after_train_only_standardization
43,Fwd PSH Flags,-0.22256171195370333,0.22256171195370333,after_train_only_standardization
43,Bwd PSH Flags,0.0,0.0,after_train_only_standardization
43,Fwd URG Flags,0.0,0.0,after_train_only_standardization
43,Bwd URG Flags,0.0,0.0,after_train_only_standardization
43,Fwd Header Len,4.110413140094054,4.110413140094054,after_train_only_standardization
43,Bwd Header Len,-0.5391588055026936,0.5391588055026936,after_train_only_standardization
43,Fwd Pkts/s,0.009471915684867053,0.009471915684867053,after_train_only_standardization
43,Bwd Pkts/s,0.332678520913188,0.332678520913188,after_train_only_standardization
43,Pkt Len Min,-0.24799909733418676,0.24799909733418676,after_train_only_standardization
43,Pkt Len Max,1.8404431380728086,1.8404431380728086,after_train_only_standardization
43,Pkt Len Mean,-0.23829961430012392,0.23829961430012392,after_train_only_standardization
43,Pkt Len Std,2.5932017062441264,2.5932017062441264,after_train_only_standardization
43,Pkt Len Var,-3.8113458150654473,3.8113458150654473,after_train_only_standardization
43,FIN Flag Cnt,0.42969584562026136,0.42969584562026136,after_train_only_standardization
43,SYN Flag Cnt,-0.22256171195370333,0.22256171195370333,after_train_only_standardization
43,RST Flag Cnt,-0.251050689621614,0.251050689621614,after_train_only_standardization
43,PSH Flag Cnt,-6.422169769628031,6.422169769628031,after_train_only_standardization
43,ACK Flag Cnt,-0.660793568181778,0.660793568181778,after_train_only_standardization
43,URG Flag Cnt,-0.04880768722674487,0.04880768722674487,after_train_only_standardization
43,CWE Flag Count,0.0,0.0,after_train_only_standardization
43,ECE Flag Cnt,-0.251050689621614,0.251050689621614,after_train_only_standardization
43,Down/Up Ratio,-0.3842766875913751,0.3842766875913751,after_train_only_standardization
43,Pkt Size Avg,0.35261939789291724,0.35261939789291724,after_train_only_standardization
43,Fwd Seg Size Avg,0.3393150466582428,0.3393150466582428,after_train_only_standardization
43,Bwd Seg Size Avg,-0.9659595165820516,0.9659595165820516,after_train_only_standardization
43,Fwd Byts/b Avg,0.0,0.0,after_train_only_standardization
43,Fwd Pkts/b Avg,0.0,0.0,after_train_only_standardization
43,Fwd Blk Rate Avg,0.0,0.0,after_train_only_standardization
43,Bwd Byts/b Avg,0.0,0.0,after_train_only_standardization
43,Bwd Pkts/b Avg,0.0,0.0,after_train_only_standardization
43,Bwd Blk Rate Avg,0.0,0.0,after_train_only_standardization
43,Subflow Fwd Pkts,0.1317942496699369,0.1317942496699369,after_train_only_standardization
43,Subflow Fwd Byts,-0.16453922724118575,0.16453922724118575,after_train_only_standardization
