removed_positive_block_id,remaining_blocks,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
blk_6733502670823678822,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8457796276405299,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-1649334807612765719,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8470551378446115,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_5980765160782067645,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8457796276405299,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-4450005625926126372,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-2678902512647340067,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8463548577325667,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_8322987244790249079,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8457796276405299,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-6261833220433936064,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_6117314463984744541,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8457796276405299,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_1633403445702941898,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8463548577325667,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-199709487564750012,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_7582190032193160159,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-1721364834807217851,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-3646645979948735024,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-7278258381326342834,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-1960006978397980138,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_1276450342191698000,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-6892421711676095557,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8470551378446115,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-5440262653017024070,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-7579236222909415062,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_3685862930729626235,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_8270421319005923469,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.8470551378446115,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_390732437077793209,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_7200126463182290415,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-4578082979101007773,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-3180573862356560271,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_-6068697077005211343,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_6463083540789274628,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_8812245747377305947,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.83374981571576,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
blk_9048894982065930066,1999,1999,0.014007003501750876,0.8,1.0,0.8888888888888888,0.845422484783387,0.8928375006899378,0.0035514967021816335,28,7,1964,0,35,1.2729429339548877
