run_id,seed,feature,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,coefficient
final_csecic_lr_forensic_20260910T235954Z,42,Fwd IAT Min,20000,0.5,0.0,0.0,0.0,0.7810109351157408,-0.015813365095036138,0.0005,0,5,9995,10000,5,0.48186653360277354
final_csecic_lr_forensic_20260910T235954Z,42,Bwd IAT Tot,20000,0.5,0.1,0.0019,0.003729146221786065,0.4839583118506418,-0.07834739295494746,0.0171,19,171,9829,9981,190,0.25826082011860996
final_csecic_lr_forensic_20260910T235954Z,42,Bwd IAT Mean,20000,0.5,0.1,0.0019,0.003729146221786065,0.4826272433638545,-0.07834739295494746,0.0171,19,171,9829,9981,190,1.7280945694434307
final_csecic_lr_forensic_20260910T235954Z,42,Bwd IAT Std,20000,0.5,0.18831168831168832,0.0087,0.016631619193270886,0.4829796711179802,-0.09585868066290701,0.0375,87,375,9625,9913,462,0.8376844250579354
final_csecic_lr_forensic_20260910T235954Z,42,Bwd IAT Max,20000,0.5,0.1,0.0019,0.003729146221786065,0.48384149760230866,-0.07834739295494746,0.0171,19,171,9829,9981,190,0.6882510537739662
final_csecic_lr_forensic_20260910T235954Z,42,Bwd IAT Min,20000,0.5,0.0,0.0,0.0,0.4800254022338681,0.0,0.0,0,0,10000,10000,0,1.311153434117875
final_csecic_lr_forensic_20260910T235954Z,42,Fwd PSH Flags,20000,0.5,0.0,0.0,0.0,0.5,-0.010000500037503125,0.0002,0,2,9998,10000,2,0.08572122428029497
final_csecic_lr_forensic_20260910T235954Z,42,Bwd PSH Flags,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Fwd URG Flags,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Bwd URG Flags,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Fwd Header Len,20000,0.5,0.02001188825044581,0.0202,0.020105504130586243,0.40578387760186696,-0.9690428132572554,0.9892,202,9892,108,9798,10094,0.6702676886515807
final_csecic_lr_forensic_20260910T235954Z,42,Bwd Header Len,20000,0.5,0.9912035599710235,0.9578,0.9742155317093018,0.9746426722077473,0.9498395148432254,0.0085,9578,85,9915,422,9663,-0.3091921589777385
final_csecic_lr_forensic_20260910T235954Z,42,Fwd Pkts/s,20000,0.5,0.43451707758425695,0.7684,0.5551220921832105,0.310568026810021,-0.3618920347720934,1.0,7684,10000,0,2316,17684,-0.29341791148010515
final_csecic_lr_forensic_20260910T235954Z,42,Bwd Pkts/s,20000,0.5,1.0,0.2269,0.36987529546010267,0.6292074349083627,0.35772610431693946,0.0,2269,0,10000,7731,2269,0.08753269650636099
final_csecic_lr_forensic_20260910T235954Z,42,Pkt Len Min,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-3.7843151104511805
final_csecic_lr_forensic_20260910T235954Z,42,Pkt Len Max,20000,0.5,0.04091129423170141,0.0422,0.04154565591927147,0.48062662400620515,-0.9475702299557052,0.9893,422,9893,107,9578,10315,0.28643321969334734
final_csecic_lr_forensic_20260910T235954Z,42,Pkt Len Mean,20000,0.5,0.04091129423170141,0.0422,0.04154565591927147,0.4829318419271681,-0.9475702299557052,0.9893,422,9893,107,9578,10315,0.09639994763316238
final_csecic_lr_forensic_20260910T235954Z,42,Pkt Len Std,20000,0.5,0.04091129423170141,0.0422,0.04154565591927147,0.5014088423120584,-0.9475702299557052,0.9893,422,9893,107,9578,10315,0.40828318306034983
final_csecic_lr_forensic_20260910T235954Z,42,Pkt Len Var,20000,0.5,0.04091129423170141,0.0422,0.04154565591927147,0.5014088423120584,-0.9475702299557052,0.9893,422,9893,107,9578,10315,0.18575558689906535
final_csecic_lr_forensic_20260910T235954Z,42,FIN Flag Cnt,20000,0.5,0.49937421777221525,0.9975,0.6655546288573811,0.4993757822277847,-0.03537745688386125,1.0,9975,10000,0,25,19975,-0.07112631627465973
final_csecic_lr_forensic_20260910T235954Z,42,SYN Flag Cnt,20000,0.5,0.0,0.0,0.0,0.5,-0.010000500037503125,0.0002,0,2,9998,10000,2,0.08572122428029497
final_csecic_lr_forensic_20260910T235954Z,42,RST Flag Cnt,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-1.2850149461774414
final_csecic_lr_forensic_20260910T235954Z,42,PSH Flag Cnt,20000,0.5,0.9996,0.2499,0.39984,0.62485004,0.37766210143081985,0.0001,2499,1,9999,7501,2500,0.5854617061850664
final_csecic_lr_forensic_20260910T235954Z,42,ACK Flag Cnt,20000,0.5,0.4279336004579279,0.7476,0.5443028758645796,0.4461231597023469,-0.37874683530624537,0.9994,7476,9994,6,2524,17470,0.15994213507867666
final_csecic_lr_forensic_20260910T235954Z,42,URG Flag Cnt,20000,0.5,0.5055498458376156,0.9838,0.6678886625933469,0.5054599383350462,0.06663239955226359,0.9622,9838,9622,378,162,19460,-0.5056111546137366
final_csecic_lr_forensic_20260910T235954Z,42,CWE Flag Count,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,ECE Flag Cnt,20000,0.5,0.5,1.0,0.6666666666666666,0.5,0.0,1.0,10000,10000,0,0,20000,-1.2850149461774414
final_csecic_lr_forensic_20260910T235954Z,42,Down/Up Ratio,20000,0.5,0.4450572761985575,0.7343,0.5542095928148232,0.4601087888979509,-0.23854643878563064,0.9156,7343,9156,844,2657,16499,-0.5982928497034721
final_csecic_lr_forensic_20260910T235954Z,42,Pkt Size Avg,20000,0.5,0.04091129423170141,0.0422,0.04154565591927147,0.48392442188082074,-0.9475702299557052,0.9893,422,9893,107,9578,10315,0.06577360518414344
final_csecic_lr_forensic_20260910T235954Z,42,Fwd Seg Size Avg,20000,0.5,0.03988742236024845,0.0411,0.040484633569739956,0.4798336099584223,-0.9486384481766152,0.9893,411,9893,107,9589,10304,0.5143837109826945
final_csecic_lr_forensic_20260910T235954Z,42,Bwd Seg Size Avg,20000,0.5,0.14237516869095818,0.0422,0.06510336315951867,0.5116886042419191,-0.2983410030783071,0.2542,422,2542,7458,9578,2964,0.021600075665494857
final_csecic_lr_forensic_20260910T235954Z,42,Fwd Byts/b Avg,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Fwd Pkts/b Avg,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Fwd Blk Rate Avg,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Bwd Byts/b Avg,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Bwd Pkts/b Avg,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Bwd Blk Rate Avg,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.0
final_csecic_lr_forensic_20260910T235954Z,42,Subflow Fwd Pkts,20000,0.5,0.9492774428174945,0.9919,0.9701207883026065,0.9799899789775919,0.9398478492907508,0.053,9919,530,9470,81,10449,-0.04145974561273936
final_csecic_lr_forensic_20260910T235954Z,42,Subflow Fwd Byts,20000,0.5,0.003625742773693222,0.0036,0.0036128255306337497,0.480619820123929,-0.9857248455078504,0.9893,36,9893,107,9964,9929,0.2214895951256209
final_csecic_lr_forensic_20260910T235954Z,42,Subflow Bwd Pkts,20000,0.5,0.9912035599710235,0.9578,0.9742155317093018,0.9743719998942875,0.9498395148432254,0.0085,9578,85,9915,422,9663,-2.261058640019819
final_csecic_lr_forensic_20260910T235954Z,42,Subflow Bwd Byts,20000,0.5,0.5091701663920046,0.9578,0.6648849397799451,0.9684281717945509,0.07294948429294469,0.9233,9578,9233,767,422,18811,-6.400376726035832
final_csecic_lr_forensic_20260910T235954Z,42,Init Fwd Win Byts,20000,0.5,0.9996,0.2499,0.39984,0.7848827775080043,0.37766210143081985,0.0001,2499,1,9999,7501,2500,1.2196868873697766
final_csecic_lr_forensic_20260910T235954Z,42,Init Bwd Win Byts,20000,0.5,0.5,1.0,0.6666666666666666,0.9744144274235685,0.0,1.0,10000,10000,0,0,20000,-1.1871609025776155
final_csecic_lr_forensic_20260910T235954Z,42,Fwd Act Data Pkts,20000,0.5,0.49942428035043807,0.9976,0.6656213511259382,0.9681971724213804,-0.03254726033315235,0.9999,9976,9999,1,24,19975,-0.07754745347552694
final_csecic_lr_forensic_20260910T235954Z,42,Fwd Seg Size Min,20000,0.5,0.5000250639129781,0.9975,0.6661324251227086,0.6134696268294855,0.0009914124006489703,0.9974,9975,9974,26,25,19949,6.028303131050347
final_csecic_lr_forensic_20260910T235954Z,42,Active Mean,20000,0.5,0.0,0.0,0.0,0.4991038960426534,0.0,0.0,0,0,10000,10000,0,0.5606942360243816
final_csecic_lr_forensic_20260910T235954Z,42,Active Std,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.45315539828086654
final_csecic_lr_forensic_20260910T235954Z,42,Active Max,20000,0.5,0.0,0.0,0.0,0.4991038960426534,0.0,0.0,0,0,10000,10000,0,0.4655345612803282
final_csecic_lr_forensic_20260910T235954Z,42,Active Min,20000,0.5,0.0,0.0,0.0,0.4991038960426534,0.0,0.0,0,0,10000,10000,0,0.5779188442550581
final_csecic_lr_forensic_20260910T235954Z,42,Idle Mean,20000,0.5,0.12,0.0024,0.004705882352941176,0.49868408546626974,-0.07638287395970011,0.0176,24,176,9824,9976,200,0.6300865154711632
final_csecic_lr_forensic_20260910T235954Z,42,Idle Std,20000,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0,10000,10000,0,0.5164454658063119
final_csecic_lr_forensic_20260910T235954Z,42,Idle Max,20000,0.5,0.12,0.0024,0.004705882352941176,0.49868408546626974,-0.07638287395970011,0.0176,24,176,9824,9976,200,0.7049214269557957
