replicate,resampling_unit,n,prevalence,precision,recall,f1,pr_auc,mcc,fpr,tp,fp,tn,fn,predicted_positive,threshold
73,block_id,2000,0.015,0.8108108108108109,1.0,0.8955223880597015,0.8434182081240905,0.898849129258262,0.003553299492385787,30,7,1963,0,37,1.2729429339548877
74,block_id,2000,0.009,0.8571428571428571,1.0,0.9230769230769231,0.8801587301587301,0.9251191633189296,0.0015136226034308778,18,3,1979,0,21,1.2729429339548877
75,block_id,2000,0.0125,0.6944444444444444,1.0,0.819672131147541,0.7478787878787879,0.831009417878022,0.005569620253164557,25,11,1964,0,36,1.2729429339548877
76,block_id,2000,0.019,0.926829268292683,1.0,0.9620253164556962,0.9402848311189163,0.9619834188579753,0.0015290519877675841,38,3,1959,0,41,1.2729429339548877
77,block_id,2000,0.014,0.8235294117647058,1.0,0.9032258064516129,0.912766062946918,0.906103605656258,0.0030425963488843813,28,6,1966,0,34,1.2729429339548877
78,block_id,2000,0.015,0.8108108108108109,1.0,0.8955223880597015,0.8777344134871016,0.898849129258262,0.003553299492385787,30,7,1963,0,37,1.2729429339548877
79,block_id,2000,0.0185,0.8222222222222222,1.0,0.9024390243902439,0.8134584274677152,0.9049151021229285,0.004075394803871625,37,8,1955,0,45,1.2729429339548877
80,block_id,2000,0.0125,0.8928571428571429,1.0,0.9433962264150944,0.9184097744360902,0.9441932557263539,0.0015189873417721519,25,3,1972,0,28,1.2729429339548877
81,block_id,2000,0.0095,0.8260869565217391,1.0,0.9047619047619048,0.8901711846505898,0.9079751849129509,0.0020191822311963654,19,4,1977,0,23,1.2729429339548877
82,block_id,2000,0.0125,0.6410256410256411,1.0,0.78125,0.7637911450867972,0.797798008143739,0.007088607594936709,25,14,1961,0,39,1.2729429339548877
83,block_id,2000,0.0175,0.7777777777777778,1.0,0.875,0.7602919302919304,0.879670177480097,0.005089058524173028,35,10,1955,0,45,1.2729429339548877
84,block_id,2000,0.015,0.8823529411764706,1.0,0.9375,0.9007672925629582,0.9383823110014797,0.0020304568527918783,30,4,1966,0,34,1.2729429339548877
85,block_id,2000,0.015,0.7317073170731707,1.0,0.8450704225352113,0.8185099534489961,0.8530074101077028,0.005583756345177665,30,11,1959,0,41,1.2729429339548877
86,block_id,2000,0.015,0.7692307692307693,1.0,0.8695652173913043,0.7646134567187198,0.87505229385766,0.004568527918781726,30,9,1961,0,39,1.2729429339548877
87,block_id,2000,0.0185,0.925,1.0,0.961038961038961,0.9279286811895507,0.9610339991006598,0.0015282730514518594,37,3,1960,0,40,1.2729429339548877
88,block_id,2000,0.0135,0.9,1.0,0.9473684210526315,0.9250233426704015,0.9479617743324569,0.0015205271160669033,27,3,1970,0,30,1.2729429339548877
